scheme_or_product_name,benefit_name,scheme_type,provider_category,provider_name,government_level,state_or_ut,financial_instrument_type,benefit_category_tags,business_stage_tags,sector_tags,msme_segment_tags,benefit_summary,benefit_calculation_logic,maximum_benefit_amount,minimum_benefit_amount,loan_amount_range,interest_rate_or_subvention,collateral_requirement,guarantee_coverage,repayment_tenure,moratorium,margin_contribution_required,application_channel,application_url,official_source_url,policy_document_url,secondary_source_url,source_type,source_confidence,active_status,active_status_evidence,priority_tier,accessibility_status,last_verified_date,notes,verification_needed,duplicate_or_related_scheme_notes
SIDBI Make in India Soft Loan Fund for MSMEs (SMILE),Soft loan / quasi-equity for new and expanding MSMEs,government_backed_financial_scheme,development_finance_institution,SIDBI,central_backed,all_india,soft_loan,credit_access|capital_investment_subsidy|equity_seed_capital,startup_early_stage|expansion|modernization_upgradation,manufacturing|services,micro|small|medium,"Direct SIDBI assistance combining a term loan with a soft-loan (quasi-equity) component to help new and existing MSMEs in manufacturing and services set up, expand, modernise or upgrade technology, including meeting the promoter contribution gap.",Minimum loan reported at 10 lakh (equipment) and 25 lakh (other purposes); soft-loan component functions as quasi-equity. Concessional interest reported around 2pct below market. Long repayment (up to about 10 years) with moratorium up to 36 months. Confirm current terms from SIDBI product sheet.,unknown,1000000,1000000-unknown,concessional_approx_2pct_below_market,unknown,unknown,up_to_120_months,up_to_36_months,unknown,open_online,https://www.sidbi.in,https://www.sidbi.in/home-product,unknown,https://www.indiafilings.com/business-loan/sidbi-loan,official_bank,medium_secondary_supported,confirmed_active,SMILE listed among SIDBI direct products on sidbi.in; specific figures from secondary sources,tier_2_segment_specific,open_online,2026-07-03,"Flagship SIDBI direct soft-loan scheme. Exact current ceilings, rate and tenure should be confirmed from the live SIDBI product sheet before publication.",yes,"One of several SIDBI direct products (also SEF, SPEED, STAR, 4E, ARISE, Express, PRAYAAS)"
SIDBI Trader Finance Scheme (STFS),Collateral-free finance for MSME traders/retailers/wholesalers,government_backed_financial_scheme,development_finance_institution,SIDBI,central_backed,all_india,working_capital_loan,credit_access|working_capital,existing_enterprise,trading,micro|small,"Direct SIDBI working-capital and need-based finance for MSME traders such as stockists, distributors, dealers and organised retailers, offered without collateral.",Loan reported from about 10 lakh up to 1 crore per borrower for working capital and need-based capital expenditure; repayment up to about 60 months. Applicant should be a trader in existence for at least 3 years with satisfactory financials. Confirm current terms from SIDBI.,10000000,1000000,1000000-10000000,roi_per_sidbi,collateral_free,unknown,up_to_60_months,unknown,unknown,open_online,https://www.sidbi.in,https://www.sidbi.in/other-loan-products,unknown,https://www.indiafilings.com/learn/sidbi-trader-finance-scheme-stfs,official_bank,medium_secondary_supported,likely_active_but_not_recently_updated,STFS described on SIDBI product pages; scheme parameters from secondary sources,tier_2_segment_specific,open_online,2026-07-03,"Traders already availing working-capital loans from other banks are generally not eligible. Confirm current ceiling, rate and eligibility from SIDBI before publication.",yes,One of several SIDBI direct products
SIDBI Loan for Purchase of Equipment for Enterprise's Development (SPEED),Equipment finance (up to 100pct financing),government_backed_financial_scheme,development_finance_institution,SIDBI,central_backed,all_india,term_loan,credit_access|technology_upgradation|capital_investment_subsidy,existing_enterprise|modernization_upgradation,manufacturing|services,micro|small|medium,"Direct SIDBI term loan for purchase of new machinery and equipment, offering high (up to full) financing of the equipment cost to help MSMEs modernise.","Reported up to 100pct financing, with loan up to about 1 crore for newer businesses and up to about 2 crore for enterprises operational 3+ years; repayment about 2-5 years with 3-6 month moratorium; interest around 9-10pct. Confirm current terms from SIDBI.",20000000,unknown,unknown-20000000,roi_approx_9_to_10pct,unknown,unknown,up_to_60_months,up_to_6_months,unknown,open_online,https://www.sidbi.in,https://www.sidbi.in/other-loan-products,unknown,https://www.hfs.in/sidbi-schemes-and-loan-offerings-for-msmes-the-complete-guide/,official_bank,medium_secondary_supported,likely_active_but_not_recently_updated,SPEED listed among SIDBI direct products; figures from secondary/older sources,tier_2_segment_specific,open_online,2026-07-03,"A SPEED PLUS variant is also reported. Exact current financing percentage, ceiling, rate and tenure need confirmation from SIDBI product sheets.",yes,One of several SIDBI direct products; related to SEF (SMILE Equipment Finance)
SIDBI PRAYAAS,Micro-enterprise finance via partner institutions,government_backed_financial_scheme,development_finance_institution,SIDBI (through partner institutions),central_backed,all_india,low_interest_loan,credit_access|working_capital,startup_early_stage|existing_enterprise,sector_agnostic,micro|women_led|rural_enterprise,"SIDBI-linked lending program that channels affordable credit to micro-entrepreneurs, including women-led enterprises, through partner institutions rather than direct SIDBI branches.","Need-based micro loans delivered via SIDBI partner institutions; exact ticket size, rate and tenure vary by partner and are not published centrally. Confirm current terms from SIDBI.",unknown,unknown,unknown,roi_per_partner,unknown,unknown,unknown,unknown,unknown,through_bank_or_financial_institution,https://www.sidbi.in,https://www.sidbi.in/home-product,unknown,https://www.iifl.com/blogs/business-loan/sidbi-loan-for-msme,official_bank,low_needs_verification,likely_active_but_not_recently_updated,PRAYAAS referenced as an active SIDBI micro-lending initiative; central terms not published,tier_3_limited_access_or_low_discoverability,through_bank_or_financial_institution,2026-07-03,Delivered through partner institutions; discoverability and terms are partner-dependent. A Digital PRAYAAS variant has also been reported. Needs confirmation from SIDBI.,yes,One of several SIDBI direct/partner products
Startup India Seed Fund Scheme (SISFS),Seed grant for proof of concept / prototype / product trials,startup_policy_benefit,central_government,"DPIIT (Startup India), via recognised incubators",central,all_india,grant,equity_seed_capital|technology_upgradation,idea_or_pre_startup|startup_early_stage,sector_agnostic,startup_dpiit,"Milestone-based seed grant disbursed to DPIIT-recognised early-stage startups through selected incubators, to validate proof of concept, develop prototypes or run product trials.","Up to 20 lakh as a grant, released in milestone-based instalments (prototype, product testing, market-ready product). A startup can avail the grant once. Not for facility creation.",2000000,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://seedfund.startupindia.gov.in,https://seedfund.startupindia.gov.in,https://seedfund.startupindia.gov.in/faq,unknown,official_government,high_official_current,confirmed_active,Live seedfund.startupindia.gov.in portal with ongoing applications; disbursals reported through 2024-25,tier_1_high_priority,open_online,2026-07-03,Startup must be DPIIT-recognised and incorporated not more than 2 years ago at application; applicant may apply to up to 3 incubators. Should not have received more than 10 lakh under other central/state schemes.,no,Paired with the SISFS debt/convertible-debenture row (up to 50 lakh)
Startup India Seed Fund Scheme (SISFS),Debt / convertible debentures for market entry and scaling,startup_policy_benefit,central_government,"DPIIT (Startup India), via recognised incubators",central,all_india,quasi_equity_support,equity_seed_capital|credit_access,startup_early_stage|expansion,sector_agnostic,startup_dpiit,"Investment through convertible debentures or debt / debt-linked instruments to DPIIT-recognised startups (via incubators) for market entry, commercialization or scaling up.","Up to 50 lakh via convertible debentures or debt/debt-linked instruments. Unsecured (no collateral/guarantee), typically low interest, tenure set by incubator up to about 5 years, with a moratorium (about 12 months). Availed once per startup.",5000000,unknown,0-5000000,low_interest_per_incubator,collateral_free,not_applicable,up_to_60_months,up_to_12_months,not_applicable,open_online,https://seedfund.startupindia.gov.in,https://seedfund.startupindia.gov.in,https://seedfund.startupindia.gov.in/faq,unknown,official_government,high_official_current,confirmed_active,Debt/convertible component described in current SISFS guidelines and FAQ on the official portal,tier_2_segment_specific,open_online,2026-07-03,"Used for market entry/commercialization/scaling only, not facility creation. Disbursed by the selected incubator, not the government directly.",no,Second instrument under SISFS; see the grant row
Fund of Funds for Startups (FFS),Indirect equity capital via SEBI-registered AIFs,startup_policy_benefit,development_finance_institution,SIDBI (operating agency); DPIIT (monitoring agency),central_backed,all_india,equity_support,equity_seed_capital,startup_early_stage|expansion,sector_agnostic,startup_dpiit,"Government-backed fund-of-funds that contributes capital to SEBI-registered Category I and II Alternative Investment Funds, which in turn invest equity in DPIIT-recognised startups. Startups do not apply directly.","Corpus of 10,000 crore contributed to AIFs; each AIF must invest at least twice the FFS contribution into eligible startups. FFS typically contributes up to about 20pct of an AIF's corpus. Benefit to a startup is the equity investment received from a participating AIF (amount varies).",unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,through_bank_or_financial_institution,https://www.sidbivcf.in/en/funds/ffs,https://www.sidbivcf.in/en/funds/ffs,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1895964,unknown,official_institution,high_official_current,confirmed_active,"sidbivcf.in shows FFS status as on 31 Dec 2025; commitments exceed 11,000 crore across 140+ AIFs",tier_3_limited_access_or_low_discoverability,through_bank_or_financial_institution,2026-07-03,"Indirect scheme: only SEBI-registered AIFs apply to SIDBI; startups access capital by approaching participating AIFs. A successor FFS 2.0 (additional 10,000 crore, focus deep-tech/climate/defence) has been notified with SIDBI as implementation agency.",no,Equity counterpart to SISFS (grant/debt) and CGSS (guarantee) in the startup financing stack
Interest Subvention Support under Export Promotion Mission (Niryat Protsahan),Interest subvention on pre and post shipment rupee export credit (MSME manufacturers),export_policy_benefit,central_government,DGFT (Ministry of Commerce and Industry); RBI reimbursement to banks,central,all_india,interest_subvention,export_support|interest_relief|working_capital,existing_enterprise|expansion,manufacturing|export_oriented,micro|small|medium|exporter,"Reduction in the interest rate on pre- and post-shipment rupee export credit for eligible MSME manufacturer exporters, continuing the erstwhile Interest Equalisation Scheme under the new Export Promotion Mission framework.","Interest subvention of about 2.75pct (historically 3pct) per annum for MSME manufacturer exporters on rupee export credit, subject to an annual per-MSME ceiling (a 50 lakh cap applied in FY 2024-25). Current rate and cap governed by DGFT trade notices under the Export Promotion Mission (Jan 2026).",unknown,unknown,not_applicable,subvention_approx_2.75pct_msme,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,through_bank_or_financial_institution,https://www.dgft.gov.in,https://www.dgft.gov.in,unknown,https://a2ztaxcorp.net/dgft-issues-amendments-to-interest-subvention-guidelines-for-pre-and-post-shipment-export-credit-under-export-promotion-mission-niryat-protsahan/,official_government,medium_secondary_supported,confirmed_active,DGFT Trade Notice 22/2025-26 dated 16 Jan 2026 governs interest subvention under EPM; export credit sanctioned on/after 02 Jan 2026 qualifies,tier_1_high_priority,through_bank_or_financial_institution,2026-07-03,"Successor to the Interest Equalisation Scheme (IES), now under the Export Promotion Mission (Niryat Protsahan, outlay 25,060 crore FY26-31). Requires a DGFT-generated UIN submitted to the bank; goods must originate in India. Confirm current rate and annual cap from the latest DGFT trade notice.",yes,Replaces the standalone IES; EPM also bundles export credit guarantee and factoring (verify separately)
Remission of Duties and Taxes on Exported Products (RoDTEP),Remission of embedded duties/taxes on exported goods,export_policy_benefit,central_government,DGFT / CBIC (Ministry of Commerce and Industry; Ministry of Finance),central,all_india,tax_reimbursement,export_support|tax_duty_relief,existing_enterprise|expansion,manufacturing|export_oriented,micro|small|medium|exporter,"Refund of embedded central, state and local duties and taxes on exported products that are not otherwise refunded (for example VAT on fuel, mandi tax, electricity duty), issued as transferable e-scrips/ledger credits.","Remission as a percentage of FOB value of exports, varying roughly from 0.5pct to 4.3pct by product HS code as notified. Credited as transferable duty credit in the exporter's electronic ledger on ICEGATE.",unknown,unknown,not_applicable,remission_0.5_to_4.3pct_fob,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://www.dgft.gov.in,https://www.dgft.gov.in,unknown,https://www.dgftguru.com/export-incentives-guide-for-indian-traders/,official_government,medium_secondary_supported,confirmed_active,RoDTEP is the current flagship remission scheme under FTP 2023 (successor to MEIS); processed via ICEGATE,tier_1_high_priority,open_online,2026-07-03,Available to almost all export sectors; reported that a large majority of beneficiaries are MSMEs. Exact per-product rates are notified on the DGFT/ICEGATE portal and should be checked by HS code before publication.,yes,Textile-specific RoSCTL offers separate (often higher) rates and is deferred to the sectoral batch
Export Promotion Capital Goods (EPCG) Scheme,Concessional/zero customs duty on capital goods against export obligation,export_policy_benefit,central_government,DGFT (Ministry of Commerce and Industry),central,all_india,duty_concession,export_support|tax_duty_relief|technology_upgradation,existing_enterprise|expansion|modernization_upgradation,manufacturing|export_oriented,micro|small|medium|exporter,"Allows exporters to import capital goods (machinery, spares, moulds, software) at zero or concessional customs duty, in exchange for a commitment to export goods worth a multiple of the duty saved.","Duty saved on imported capital goods, conditional on fulfilling an export obligation equal to 6 times the duty saved within 6 years (export obligation reduced by 25pct for indigenously sourced capital goods). IGST exemption also available on EPCG imports.",unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://www.dgft.gov.in,https://www.dgft.gov.in,unknown,https://www.registrationwala.com/knowledge-base/post/business/export-promotion-schemes-for-indian-exporters,official_government,medium_secondary_supported,confirmed_active,Long-standing scheme (since 1992) continuing under Foreign Trade Policy 2023; administered by DGFT,tier_2_segment_specific,open_online,2026-07-03,"Benefit is a duty saving, not a cash transfer; failure to meet the export obligation triggers duty recovery with interest. Confirm current duty rates and EO conditions from FTP/HBP before publication.",yes,"Related duty schemes (Advance Authorisation, Duty Drawback) are broad trade facilitation and noted in methodology"
Market Access Initiative (MAI) Scheme,Financial assistance for export market development,export_policy_benefit,central_government,Department of Commerce (Ministry of Commerce and Industry),central,all_india,reimbursement,export_support|marketing_procurement,existing_enterprise|expansion,export_oriented|manufacturing|services,micro|small|medium|exporter,"Financial assistance for export-promotion activities (market studies, participation in international fairs, buyer-seller meets, branding and market development), delivered largely via Export Promotion Councils and trade bodies, benefiting MSME exporters entering new markets.",Reimbursement/financial support for eligible export-promotion activities on a component-wise basis as per scheme guidelines; specific caps vary by activity and applicant category.,unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unknown,through_department_approval,https://commerce.gov.in,https://commerce.gov.in,unknown,https://wareiq.com/resources/blogs/export-incentive-schemes-in-india/,official_government,medium_secondary_supported,likely_active_but_not_recently_updated,MAI listed among active export promotion schemes; some activities are being reorganised under the Export Promotion Mission (Niryat Disha),tier_2_segment_specific,through_department_approval,2026-07-03,Often accessed through Export Promotion Councils/trade bodies rather than by individual MSMEs directly. Market-access support is being consolidated under the Export Promotion Mission (Niryat Disha); confirm the current operative guidelines and caps.,yes,Related to TMA (Transport and Marketing Assistance) and Niryat Disha market-access components
NSIC Raw Material Assistance (RMA) Scheme,Credit for raw material procurement against bank guarantee,government_backed_financial_scheme,public_institution,NSIC (Ministry of MSME),central_backed,all_india,working_capital_loan,working_capital|credit_access,existing_enterprise,manufacturing|services,micro|small|medium,"NSIC finances the purchase of raw materials (indigenous and imported) for manufacturing/processing MSMEs on credit, letting them buy in bulk and focus on production. Trading activity is excluded.","Credit for raw material for up to about 90 days (extendable up to 180 days) against a bank guarantee. Concessional interest linked to the unit's rating (for example about 9.00pct p.a. for a micro unit with a valid SME-1 rating), typically ranging up to about 9.5-12pct.",unknown,unknown,unknown,roi_approx_9_to_12pct_rating_linked,collateral_required,not_applicable,up_to_180_days,not_applicable,unknown,open_offline,https://www.nsic.co.in,https://www.nsic.co.in/Corporate/AboutUs,unknown,https://www.egovtschemes.com/raw-material-assistance-scheme/,official_institution,medium_official_stale,confirmed_active,RMA described on nsic.co.in as a current credit-support scheme; applications via NSIC branches,tier_2_segment_specific,open_offline,2026-07-03,"Requires a bank guarantee as security. Only for manufacturing/service MSMEs with valid Udyam registration, not trading. Confirm current interest grid and sanction limits from NSIC.",yes,One of several NSIC financial-support schemes (see Bank Credit Facilitation and SPRS rows)
NSIC Bank Credit Facilitation Scheme (BCFS),Facilitated access to bank credit (fund and non-fund based),government_backed_financial_scheme,public_institution,"NSIC (Ministry of MSME), with partner banks",central_backed,all_india,working_capital_loan,credit_access|working_capital,existing_enterprise|expansion,manufacturing|services,micro|small|medium,"NSIC helps MSMEs obtain fund-based and non-fund-based credit limits from tie-up banks by preparing documentation and following up with banks, at no cost to the MSME.","Credit is sanctioned by the partner bank (NSIC facilitates, does not lend). Reported facilitation of loans up to about 5 crore for a single unit and up to about 15 crore for a group of units; interest per bank (about 9.5-12pct).",unknown,unknown,unknown,roi_per_bank,unknown,not_applicable,unknown,unknown,unknown,through_bank_or_financial_institution,https://www.nsic.co.in/Schemes/CreditFacilitationThroughBank,https://www.nsic.co.in/Schemes/CreditFacilitationThroughBank,unknown,https://www.bankbazaar.com/personal-loan/national-small-industries-corporation.html,official_institution,medium_official_stale,confirmed_active,Bank Credit Facilitation Scheme page live on nsic.co.in,tier_3_limited_access_or_low_discoverability,through_bank_or_financial_institution,2026-07-03,This is a facilitation service (free handholding) rather than a direct subsidy; the actual loan and its terms come from the partner bank. Included because it directly unlocks a financial benefit.,yes,Complements CGTMSE and bank MSME products captured elsewhere
NSIC Single Point Registration Scheme (SPRS),"Procurement-linked financial benefits (EMD exemption, free tenders)",government_scheme,public_institution,NSIC (Ministry of MSME),central_backed,all_india,other,marketing_procurement,existing_enterprise,manufacturing|services,micro|small,"Registration that lets micro and small enterprises participate in government and PSU tenders with financial concessions such as exemption from Earnest Money Deposit, free issue of tender documents, and participation without prior turnover/experience conditions.","Non-monetary-value benefit realised as cost savings: EMD exemption, free tender sets, and tender participation on par with larger firms. Registration is free of cost for micro and small enterprises.",unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://www.nsic.co.in,https://www.nsic.co.in/Corporate/AboutUs,unknown,https://www.satyasupport.co.in/schemes/nsic/,official_institution,medium_official_stale,confirmed_active,SPRS described as active on NSIC pages; long-standing scheme under the Government Stores Purchase Programme,tier_2_segment_specific,open_online,2026-07-03,"Financial value is indirect (avoided EMD and tender costs, and access to reserved-item procurement/price preference under the Public Procurement Policy). Registration free for MSEs.",yes,Complements the Public Procurement Policy for MSEs (25pct procurement mandate)
Interest Subsidy Eligibility Certificate (ISEC) Scheme,Concessional 4pct interest on credit to khadi institutions,government_scheme,public_institution,KVIC (Ministry of MSME),central,all_india,interest_subvention,interest_relief|working_capital|credit_access,existing_enterprise,khadi_village_industry|textiles,artisan|rural_enterprise,Registered khadi institutions receive bank credit for capital investment and working capital at a concessional 4pct interest rate; the difference above 4pct is paid by the Government through KVIC directly to the bank.,Institution pays only 4pct per annum; KVIC pays the balance interest to the bank from its Grants budget. Applies to Capital Investment and Working Capital based on production levels and assessed requirement.,unknown,unknown,unknown,concessional_4pct_to_borrower,unknown,not_applicable,unknown,unknown,not_applicable,through_department_approval,https://www.kviconline.gov.in,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2224092,unknown,https://schemesmsme.com/khadi-gramodyog-vikas-yojana/,official_government,high_official_current,confirmed_active,ISEC described as active in KVIC/PIB release (2025) under Khadi Gramodyog Vikas Yojana,tier_2_segment_specific,through_department_approval,2026-07-03,Available to KVIC-registered khadi/polyvastra institutions (not individuals directly). Part of the Khadi Gramodyog Vikas Yojana umbrella.,no,"Umbrella: Khadi Gramodyog Vikas Yojana (also MMDA, Workshed)"
Modified Market Development Assistance (MMDA) for Khadi,Production/marketing assistance on prime cost of khadi,government_scheme,public_institution,KVIC (Ministry of MSME),central,all_india,grant,marketing_procurement|capital_investment_subsidy|skilling_capacity_financial,existing_enterprise,khadi_village_industry|textiles,artisan|rural_enterprise,"Financial assistance calculated on the prime cost of khadi production, distributed among selling institutions, producing institutions and artisans, with a share passed directly to artisans/spinners/weavers as an income incentive.",Assistance at a percentage of prime cost: reported at 35pct for cotton/muslin/wool/polyvastra khadi and 20pct for silk khadi (structures have varied across MDA/MPDA/MMDA versions). A defined share is credited directly to artisans as incentive.,unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,through_department_approval,https://www.kviconline.gov.in,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2224092,unknown,https://schemesmsme.com/khadi-gramodyog-vikas-yojana/,official_government,medium_secondary_supported,confirmed_active,MMDA described as current KVIC assistance in 2025 PIB release; exact percentages from secondary sources,tier_2_segment_specific,through_department_approval,2026-07-03,Percentage rates and distribution split have changed across MDA/MPDA/MMDA versions; confirm the current MMDA rate and split from KVIC guidelines.,yes,"Part of Khadi Gramodyog Vikas Yojana (see ISEC, Workshed)"
Workshed Scheme for Khadi Artisans,Financial assistance for construction of artisan worksheds,government_scheme,public_institution,KVIC (Ministry of MSME),central,all_india,grant,capital_investment_subsidy|skilling_capacity_financial,existing_enterprise,khadi_village_industry|textiles,artisan|rural_enterprise,"Financial assistance to khadi artisans (with focus on BPL/weaker sections) to construct improved worksheds for spinning and weaving, including storage for raw materials, tools and finished goods.",Grant assistance for workshed construction routed via the khadi institution; per-artisan assistance amount as prescribed in KVIC guidelines (to be confirmed).,unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,through_department_approval,https://www.kviconline.gov.in,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2224092,unknown,unknown,official_government,medium_official_stale,likely_active_but_not_recently_updated,Listed as a current KVIC artisan-welfare scheme in 2025 PIB release; per-unit amount not stated,tier_3_limited_access_or_low_discoverability,through_department_approval,2026-07-03,Delivered through khadi institutions to artisans (focus on BPL). Confirm current per-artisan assistance amount from KVIC.,yes,"Part of Khadi Gramodyog Vikas Yojana; KVIC also runs Gramodyog Vikas Yojana toolkit programmes (Honey Mission, Kumhar Sashaktikaran) noted in methodology"
Coir Udyami Yojana (CUY),Credit-linked capital subsidy for coir units,government_scheme,public_institution,Coir Board (Ministry of MSME),central,all_india,capital_subsidy,capital_investment_subsidy|credit_access,idea_or_pre_startup|startup_early_stage,coir,micro|small|women_led|sc_st_entrepreneur|rural_enterprise,"Credit-linked subsidy to set up coir production/processing units, combining a government subsidy, a bank loan and a small beneficiary contribution.","Pattern: 40pct of project cost as GoI subsidy, 55pct bank loan, 5pct beneficiary contribution. Maximum admissible project cost 10 lakh plus one cycle of working capital (WC not exceeding 25pct of project cost; WC not subsidised). Max subsidy therefore about 4 lakh.",400000,unknown,0-1000000,roi_at_base_rate,collateral_free,unknown,up_to_84_months,bank_prescribed,5pct,open_online,http://coirservices.gov.in,http://coirboard.gov.in/?page_id=8452,http://coirboard.gov.in/?page_id=8452,https://www.creditmantri.com/coir-udyami-yojana/,official_institution,high_official_current,confirmed_active,Coir Board financial-assistance page and online portal (coirservices.gov.in) current,tier_2_segment_specific,open_online,2026-07-03,Formerly REMOT scheme. EDP training mandatory. No collateral per RBI norms for eligible loans. One person per family. No income ceiling.,no,Coir Board also runs Coir Vikas Yojana (Production Infrastructure) and Mahila Coir Yojana rows
Coir Vikas Yojana - Development of Production Infrastructure,Subsidy on equipment/infrastructure for coir units,government_scheme,public_institution,Coir Board (Ministry of MSME),central,all_india,capital_subsidy,capital_investment_subsidy|technology_upgradation,existing_enterprise|modernization_upgradation,coir,micro|small,"Subsidy towards the cost of equipment and infrastructure for setting up or modernising coir units (defibering, automatic spinning and others).","25pct of the cost of equipment and infrastructure, subject to ceilings: up to 6 lakh (defibering unit), 4 lakh (automatic spinning unit), 5 lakh (others), and 9 lakh (composite/multiple unit). For modernisation, 25pct subject to a maximum of 2 lakh.",900000,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unknown,open_online,http://coirservices.gov.in,http://coirboard.gov.in/?page_id=8452,http://coirboard.gov.in/?page_id=8452,unknown,official_institution,high_official_current,confirmed_active,Described on Coir Board financial-assistance page as a current scheme,tier_2_segment_specific,open_online,2026-07-03,Ceilings vary by unit type; max shown is the composite/multiple-unit ceiling (9 lakh). Modernisation capped at 2 lakh.,no,Part of Coir Vikas Yojana; see CUY and Mahila Coir Yojana rows
Mahila Coir Yojana (MCY),75pct subsidy on coir processing equipment for rural women,government_scheme,public_institution,Coir Board (Ministry of MSME),central,all_india,capital_subsidy,capital_investment_subsidy|skilling_capacity_financial,startup_early_stage|existing_enterprise,coir,women_led|artisan|rural_enterprise,"After training, rural women artisans receive motorised ratts and other coir-processing equipment at a 75pct subsidy, plus a training-period stipend, to enable home-based coir livelihoods.","75pct subsidy on the cost of a motorised ratt/traditional ratt and other equipment, subject to a maximum of 7,500 per beneficiary, after completing a 2-month training programme (stipend of 1,000 per month during training).",7500,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,25pct,through_department_approval,http://coirboard.gov.in,http://coirboard.gov.in/?page_id=8452,http://coirboard.gov.in/?page_id=8452,unknown,official_institution,high_official_current,confirmed_active,Described on Coir Board financial-assistance page as a current women-artisan scheme,tier_3_limited_access_or_low_discoverability,through_department_approval,2026-07-03,"Equipment subsidy is small (max 7,500) but paired with a monthly training stipend of 1,000 for 2 months. Exclusive to rural women artisans in coir-producing regions.",no,Part of Coir Vikas Yojana (Skill Upgradation and Mahila Coir Yojana)
PM Formalisation of Micro Food Processing Enterprises (PMFME),Credit-linked capital subsidy for individual micro food units,government_scheme,central_government,Ministry of Food Processing Industries (MoFPI),central,all_india,capital_subsidy,capital_investment_subsidy|technology_upgradation|credit_access,existing_enterprise|expansion|modernization_upgradation,food_processing,micro|women_led|sc_st_entrepreneur|rural_enterprise,"Credit-linked capital subsidy to individual micro food processing units for setting up or upgrading, with a preference for One District One Product (ODOP) products.","35pct of eligible project cost as credit-linked capital subsidy, capped at 10 lakh per unit. Beneficiary brings minimum 10pct; balance is a bank loan. Repayment up to about 10 years with 6-24 month moratorium.",1000000,unknown,unknown,roi_per_bank,unknown,via_cgtmse_or_cgfmu,up_to_120_months,6_to_24_months,10pct,open_online,https://pmfme.mofpi.gov.in,https://pmfme.mofpi.gov.in,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2199453,https://cleartax.in/s/pmfme-scheme,official_government,high_official_current,confirmed_active,"1,62,744 credit-linked-subsidy loans sanctioned by 31 Oct 2025 (PIB); live pmfme.mofpi.gov.in portal",tier_1_high_priority,open_online,2026-07-03,Original scheme period was 2020-21 to 2024-25 with a continuation into 2025-26; confirm current window. ODOP proposals preferred but non-ODOP also eligible. Union Bank of India is the nodal bank.,no,PMFME also provides SHG seed capital and common-infrastructure subsidy (separate rows)
PM Formalisation of Micro Food Processing Enterprises (PMFME),Seed capital to SHG members in food processing,government_scheme,central_government,Ministry of Food Processing Industries (MoFPI),central,all_india,seed_funding,equity_seed_capital|working_capital,startup_early_stage|existing_enterprise,food_processing,women_led|micro|rural_enterprise,"Seed capital provided to members of Self-Help Groups engaged in food processing, for working capital and purchase of small tools, routed through the SHG federation.","Seed capital of 40,000 per SHG member engaged in food processing, subject to a maximum of 4 lakh per SHG federation. Provided as a grant to the federation, extended to members as a loan through the SHG.",400000,40000,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,through_department_approval,https://pmfme.mofpi.gov.in,https://pmfme.mofpi.gov.in,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2199453,https://cleartax.in/s/pmfme-scheme,official_government,high_official_current,confirmed_active,Seed-capital component described in current PMFME guidelines and PIB release,tier_2_segment_specific,through_department_approval,2026-07-03,"40,000 per member is a grant to the SHG federation, on-lent to members via the SHG. Distinct from the individual credit-linked subsidy.",no,Component of PMFME; see individual subsidy and common-infrastructure rows
